id,display_name,internal_name,sku,category,supplier_name,location,unit,base_weight,trim_percentage,cost_per_unit,stock,allergen_tags,benefits,is_active
e21c1aab-e474-433a-9ec2-3abc1648dd59,Garlic,Peeled Garlic,,,Wholesale Club,Dry Storage,Kgs,454,0,5.99,0,,,True
52da4aed-a462-4e9b-a5cc-96b0a2d24e5f,Salted Vegan Butter,Salted Vegan Butter,EBD-T003,Dairy,,,Kgs,0.454,0,8.348018,0,,,True
88cc5da1-7833-4ea3-8dfd-5af2aa5d6fc4,Canned Black Beans,Canned Black Beans,ING-1044,Dry,GFS - 003,Dry Storage (cases) - 009,Kgs,9,0,5.2589,0,,,True
65d1e9f7-306a-46c0-882a-58ef7c4ad469,Baby Arugula,Baby Arugula,1281805,Fresh,GFS - 003,Fridge (produce Rack) - 016,Kgs,0.9,0,32.2222,0,,,True
f6e121bb-c3c0-40dd-860d-101d4889af3b,Baby Carrots,Baby Carrots,EBD-1371,Fresh,GFS - 003,Fridge,Kgs,4.5,0,6.6333,0,,,True
68a93b0f-453d-4084-8a3b-35ea343031e5,"Baby Dill, Fresh","Baby Dill, Fresh",1424140,Fresh,Pratt's - 007,Fridge (produce Rack) - 016,Kgs,0.23,0,41.565217,0,,,True
644e23e0-0cb2-40bf-9871-71d483e9c042,Bok Choy,Bok Choy,EBD-792,Fresh,GFS - 003,(old) Vegetables - 004,Kgs,13.61,0,5.878031,0,,,True
300fb02f-1fed-4ea4-af75-0cba84993935,Cherry Tomatoes,Cherry Tomatoes,1371716,Fresh,GFS - 003,No Category - 020,Kgs,4.54,0,10.2974,0,,,True
4f288056-7624-48e3-bf02-7ddc0cb29b80,Cilantro,Cilantro,1275005,Fresh,GFS - 003,Fridge (veg Rack) - 018,Kgs,0.45,0,21.9778,0,,,True
b0560042-d78f-42a5-a6fa-1293dda7a888,Crystal Springs Greek Yogurt,Crystal Springs Greek Yogurt,1380154,Fresh,GFS - 003,No Category - 020,Kgs,4,0,6.25,0,,,True
5fdd978c-10b9-49ca-9f12-6d40514a3c79,DSI Extra Firm Tofu - 5.25 kg/case,DSI Extra Firm Tofu - 5.25 kg/case,EBD-119,Fresh,DSI,Fridge,Kgs,5.25,0,6,33.7805,,,True
beababe8-b81b-4ae0-9dee-5ce27e6a2bd5,DSI Smooth Tofu- 7kg/case.,DSI Smooth Tofu- 7kg/case.,EBD-268,Fresh,DSI,Fridge,Kgs,7,0,3.143,41.7744,,,True
5499b071-35da-431e-89b1-a20750f8a10e,"Dairyland Cottage Cheese, 2 Percent","Dairyland Cottage Cheese, 2 Percent",9013405,Fresh,GFS - 003,No Category - 020,Kgs,7,0,9.4871,0,,,True
7b99eaf0-b4a3-4fd5-ac83-0076e5cb5286,Earths Own Unsweetened Oat Milk,Earths Own Unsweetened Oat Milk,EBD-953,Fresh,Costco - 001,Fridge (liquid Ingredients) - 015,Kgs,5.25,0,1.9981,48.6959,,,True
1854bc1a-07e5-45fb-b6f8-feb475fabb87,Fresh Baby Spinach,Fresh Baby Spinach,1159605,Fresh,GFS - 003,Fridge (produce Rack) - 016,Kgs,4.54,0,10.8612,0,,,True
20c72b0f-4c9c-4578-92b3-178736f038d0,Fresh Basil,Fresh Basil,1424130,Fresh,GFS - 003,Fridge (produce Rack) - 016,Kgs,0.45,0,36.6222,0,,,True
1b2d61b9-c738-4c34-a93e-25eab779dcaf,Fresh Mint,Fresh Mint,1424145,Fresh,GFS - 003,Fridge (produce Rack) - 016,Kgs,0.45,0,35.9111,0,,,True
f62bab3f-0be4-4028-b5a5-a644042dac5a,Fresh Start Jicama Root,Fresh Start Jicama Root,EBD-2404,Fresh,GFS - 003,Fridge,Kgs,2.27,0,7.7181,0,,,True
74c804a3-ff26-47e5-8f08-f8b7c28011a2,Fresh Start Pico De Gallo Salsa,Fresh Start Pico De Gallo Salsa,EBD-2082,Fresh,GFS - 003,Fridge,Kgs,2.27,0,21.2379,0,,,True
0e338229-df36-4065-b1f1-dcbe5fe33b87,Gordon Choice Liquid Whole Eggs,Gordon Choice Liquid Whole Eggs,9938805,Fresh,Pratt's - 007,No Category - 020,Kgs,12,0,6.71,4.9711,,,True
fca19ce5-4af9-4c20-bde7-00fb907ebe42,Gordon Choice Sour Cream,Gordon Choice Sour Cream,9184405,Fresh,GFS - 003,(old) Canned Goods - 001,Kgs,4,0,7.4225,0,,,True
693e48f1-094f-4257-bb76-d5a0e565638f,Gordon Choice Vegan Basil Pesto Sauce (by Case),Gordon Choice Vegan Basil Pesto Sauce (by Case),1469886,Fresh,GFS - 003,No Category - 020,Kgs,3.9,0,25.1795,0,,,True
49763821-d7ba-48c5-80a5-5fad2d2770d1,Green Bell Pepper,Green Bell Pepper,513192,Fresh,Pratt's - 007,Fridge (produce Rack) - 016,Kgs,11.34,0,3.9206,6.1439,,,True
